from,to,relationship
JL,SU,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,USC,1
MT,RC,1
MT,VLC,1
MT,VZ,1
MT,LCV,1
MT,SAP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,EUT,1
ET,LBA,1
HK,VBU,1
HK,OS,1
HK,BS,1
IVV,AK,1
IVV,RC,1
IVV,IBF,1
IVV,CL,1
IVV,RRV,1
IVV,CSM,1
JN,GB,1
JN,BKS,1
JN,KS,1
JN,SMS,1
SL,KAF,1
SL,BE,1
SL,IVC,1
SL,PSU,1
MSP,BV,1
MSP,DSC,1
MSP,BSB,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,VBS,1
HJ,VCS,1
HD,AMS,1
HD,BS,1
KR,UA,1
KR,BA,1
KR,MNE,1
LB,FV,1
LB,BSP,1
LB,VCO,1
RK,OK,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,KI,1
RK,SOP,1
LG,EJM,1
LG,BS,1
JL,NL,2
MT,BG,2
ET,NL,2
HK,DE,2
IVV,BL,2
JN,PL,2
SL,US,2
MSP,SP,2
HJ,NL,2
HD,DE,2
KR,US,2
LB,DE,2
RK,FL,2
LG,DE,2
